GE4_Rank,Name,Name_Band,GE4_token,GE4_Transaction,GE4_Wallet,GE4_Prelim1,GE4_Token_Prelim1,GE4_Prelim2,Band,Gen,Band_Gen,Full_Name_TH,Team_Position,Team,Age,GE1_Rank,GE2_Rank,GE3_Rank,GE3_Position,GE3_Prelim1,GE3_Token_Prelim1,GE3_Prelim2,GE3_Token,GE3_Transactions,GE3_Wallet,GE3_Token/Transaction,GE3_Center,Request_Hour,Game_Caster,Theater_Stage,iAM48_Kami,iAM48_Oshi,iAM48_Cookies,iAM48_Likes,Setbatsu_Total,Center_Main_Total,GE4_Position
1,Pim,Pim_CGM48,133891.5231,1023,570,4.0,5590.69,1.0,CGM48,1,CGM48_1,พรวารินทร์ วงศ์ตระกูลกิจ,,C,17,,22.0,5.0,Senbatsu,5.0,5838.43,5.0,59433.96,513.0,129.0,115.86,False,2,6,0,918,12670,17831388,94093,9,1,Senbatsu
2,Paeyah,Paeyah_BNK48,110223.6325,841,459,5.0,4159.38,5.0,BNK48,3,BNK48_3,นิพพิชฌาน์ พิพิธเดชา,,NV,18,,,24.0,Under Girls,26.0,1001.39,20.0,9752.89,1194.0,382.0,8.17,False,3,0,56,1657,16731,8486508,60637,4,1,Senbatsu
3,Kaning,Kaning_CGM48,99316.875,967,526,2.0,10419.31,2.0,CGM48,1,CGM48_1,วิทิตา สระศรีสม,,C,19,,40.0,6.0,Senbatsu,3.0,7309.99,6.0,53234.8,2369.0,929.0,22.47,False,3,27,0,3101,31554,27935669,183438,11,3,Senbatsu
4,Minmin,Minmin_BNK48,72812.569,557,281,3.0,6017.28,8.0,BNK48,2,BNK48_2,รชยา ทัพพ์คุณานนต์,,BIII,26,19.0,14.0,10.0,Senbatsu,9.0,5102.41,8.0,36102.21,1166.0,393.0,30.06,False,5,2,148,1404,45844,26256835,182763,9,0,Senbatsu
5,Pancake,Pancake_BNK48,52589.72,484,266,28.0,1069.53,21.0,BNK48,3,BNK48_3,พิทยาภรณ์ เกียรติฐิตินันท์,,NV,16,,,43.0,Next Girls,33.0,854.55,38.0,3667.27,737.0,235.0,4.98,False,3,5,43,714,13133,10090840,63289,3,1,Senbatsu
6,Sita,Sita_CGM48,45695.807,1149,581,14.0,2360.01,6.0,CGM48,1,CGM48_1,สิตา ธีรเดชสกุล,,C,20,,39.0,18.0,Under Girls,12.0,4398.97,13.0,13671.84,1923.0,688.0,7.11,False,3,7,0,2986,38608,18165534,287123,10,2,Senbatsu
7,Punch,Punch_CGM48,44281.08,410,164,7.0,3642.71,13.0,CGM48,1,CGM48_1,วัชรี ด่านผาสุกกุล,,C,17,,,47.0,Next Girls,34.0,819.8,43.0,3205.98,344.0,77.0,9.32,False,2,9,0,510,13299,7016340,88065,8,0,Senbatsu
8,Wee,Wee_BNK48,41879.715,1007,495,6.0,4072.13,4.0,BNK48,2,BNK48_2,วีรยา จาง,,BIII,22,13.0,8.0,11.0,Senbatsu,13.0,3723.95,10.0,22671.94,1566.0,524.0,14.48,False,6,15,101,11315,93145,19097770,380536,12,0,Senbatsu
9,Marmink,Marmink_CGM48,40197.4981,952,479,12.0,2773.21,18.0,CGM48,1,CGM48_1,มาณิฌา เอี่ยมดิลกวงศ์,,C,24,,42.0,13.0,Senbatsu,10.0,4797.24,12.0,19627.44,1502.0,512.0,13.07,False,4,5,0,1834,24084,26316717,171963,11,1,Senbatsu
10,Champoo,Champoo_CGM48,30095.809,882,481,9.0,2870.42,14.0,CGM48,1,CGM48_1,กชพร ลีละทีป,,C,18,,,23.0,Under Girls,21.0,1452.28,29.0,9778.2,1431.0,508.0,6.83,False,3,15,0,1425,21862,20055674,185987,8,2,Senbatsu
