GE4_Rank,Name,Name_Band,GE4_token,GE4_Transaction,GE4_Wallet,GE4_Prelim1,GE4_Token_Prelim1,GE4_Prelim2,Band,Gen,Band_Gen,Full_Name_TH,Team_Position,Team,Age,GE1_Rank,GE2_Rank,GE3_Rank,GE3_Position,GE3_Prelim1,GE3_Token_Prelim1,GE3_Prelim2,GE3_Token,GE3_Transactions,GE3_Wallet,GE3_Token/Transaction,GE3_Center,Request_Hour,Game_Caster,Theater_Stage,iAM48_Kami,iAM48_Oshi,iAM48_Cookies,iAM48_Likes,Setbatsu_Total,Center_Main_Total,GE4_Position
1,Pim,Pim_CGM48,133891.5231,1023,570,4,5590.69,1,CGM48,1,CGM48_1,พรวารินทร์ วงศ์ตระกูลกิจ,,C,17,,22,5,Senbatsu,5,5838.43,5,59433.96,513,129,115.86,FALSE,2,6,0,918,12670,17831388,94093,9,1,Senbatsu
2,Paeyah,Paeyah_BNK48,110223.6325,841,459,5,4159.38,5,BNK48,3,BNK48_3,นิพพิชฌาน์ พิพิธเดชา,,NV,18,,,24,Under Girls,26,1001.39,20,9752.89,1194,382,8.17,FALSE,3,0,56,1657,16731,8486508,60637,4,1,Senbatsu
3,Kaning,Kaning_CGM48,99316.875,967,526,2,10419.31,2,CGM48,1,CGM48_1,วิทิตา สระศรีสม,,C,19,,40,6,Senbatsu,3,7309.99,6,53234.8,2369,929,22.47,FALSE,3,27,0,3101,31554,27935669,183438,11,3,Senbatsu
4,Minmin,Minmin_BNK48,72812.569,557,281,3,6017.28,8,BNK48,2,BNK48_2,รชยา ทัพพ์คุณานนต์,,BIII,26,19,14,10,Senbatsu,9,5102.41,8,36102.21,1166,393,30.06,FALSE,5,2,148,1404,45844,26256835,182763,9,0,Senbatsu
5,Pancake,Pancake_BNK48,52589.72,484,266,28,1069.53,21,BNK48,3,BNK48_3,พิทยาภรณ์ เกียรติฐิตินันท์,,NV,16,,,43,Next Girls,33,854.55,38,3667.27,737,235,4.98,FALSE,3,5,43,714,13133,10090840,63289,3,1,Senbatsu
6,Sita,Sita_CGM48,45695.807,1149,581,14,2360.01,6,CGM48,1,CGM48_1,สิตา ธีรเดชสกุล,,C,20,,39,18,Under Girls,12,4398.97,13,13671.84,1923,688,7.11,FALSE,3,7,0,2986,38608,18165534,287123,10,2,Senbatsu
7,Punch,Punch_CGM48,44281.08,410,164,7,3642.71,13,CGM48,1,CGM48_1,วัชรี ด่านผาสุกกุล,,C,17,,,47,Next Girls,34,819.8,43,3205.98,344,77,9.32,FALSE,2,9,0,510,13299,7016340,88065,8,0,Senbatsu
8,Wee,Wee_BNK48,41879.715,1007,495,6,4072.13,4,BNK48,2,BNK48_2,วีรยา จาง,,BIII,22,13,8,11,Senbatsu,13,3723.95,10,22671.94,1566,524,14.48,FALSE,6,15,101,11315,93145,19097770,380536,12,0,Senbatsu
9,Marmink,Marmink_CGM48,40197.4981,952,479,12,2773.21,18,CGM48,1,CGM48_1,มาณิฌา เอี่ยมดิลกวงศ์,,C,24,,42,13,Senbatsu,10,4797.24,12,19627.44,1502,512,13.07,FALSE,4,5,0,1834,24084,26316717,171963,11,1,Senbatsu
10,Champoo,Champoo_CGM48,30095.809,882,481,9,2870.42,14,CGM48,1,CGM48_1,กชพร ลีละทีป,,C,18,,,23,Under Girls,21,1452.28,29,9778.2,1431,508,6.83,FALSE,3,15,0,1425,21862,20055674,185987,8,2,Senbatsu
